а 0,09466596087796832
б 0,017652924304162102
в 0,05889232208585181
г 0,01767754484015117
д 0,03279455393743922
е 0,03759555845530757
ж 0,007853950980512846
з 0,02464515652505755
и 0,07125183115236419
й 0,015166250169266185
к 0,0393682370465205
л 0,045178683539940666
м 0,028018169955559932
н 0,050730614405475605
о 0,09368113943840557
п 0,034788817352553764
р 0,04222421922125245
с 0,04533871702386961
т 0,04676670811123558
у 0,0383587950709687
ф 0,00017234375192347939
х 0,013418192114042323
ц 0,0066229241810594214
ч 0,016471138576686816
ш 0,008912634028042791
щ 0,004973348269791834
ь 0,01602796892888358
ю 0,008641808132163037
я 0,023315647581647853
є 0,0024374330629177796
і 0,05064444252951387
ї 0,005416517917595066
ґ 0,0002954464318688218
